GeneID	TranscriptID	Length	D21_V_1	D21_IFN_1	D21_V_2	D21_IFN_2	D21_V_3	D21_IFN_3
NMNAT3	NM_001320513	2486	236	304	259	191	195	206
NMNAT3	NM_001363968	2098	203	272	216	178	165	176
NMNAT3	NM_178177	1925	188	268	199	185	160	185
ZBTB38	NM_001080412	8411	28801	41973	32257	20058	20638	21905
ZBTB38	NM_001350099	8094	28853	42064	32268	20236	20746	21939
ZBTB38	NM_001350100	7796	28345	41296	31692	19851	20348	21559
XRN1	NM_001282857	10079	4487	16448	5913	6205	3855	10329
GK5	NR_033289	10898	2009	3384	2561	1606	1886	2027
ATR	NM_001184	8158	7619	12785	8936	4932	6274	7716
TFDP2	NM_001178140	9376	7041	10299	8872	5624	6284	6953
TFDP2	NM_001178138	9918	7776	11355	9796	6356	6936	7676
ATR	NM_001354579	7966	7370	12390	8688	4787	6111	7473
XRN1	NM_019001	10115	4417	16244	5834	6014	3806	10201
LINC02618	NR_136190	977	0	0	0	0	0	0
TFDP2	NM_001178141	9270	6731	9909	8599	5151	6035	6699
TFDP2	NM_001178142	9118	6561	9635	8385	5122	5875	6524
TFDP2	NM_001178139	9880	7602	11137	9600	6271	6819	7532
TFDP2	NM_006286	9395	7663	11196	9649	6193	6868	7543
GK5	NM_001039547	9815	1894	3210	2445	1500	1794	1938
TRPC1	NM_003304	4068	28	37	52	11	32	37
PAQR9-AS1	NR_125393	516	0	0	0	0	2	1
PCOLCE2	NM_013363	1896	2	2	1	0	0	0
TRPC1	NM_001251845	4560	30	40	54	11	37	39
PLSCR1	NM_021105	1976	2163	6472	2768	4275	2312	4781
PLOD2	NM_000935	3996	284	454	598	152	335	339
PLOD2	NM_182943	3748	301	483	636	153	348	365
PLSCR1	NM_001363874	1720	933	2789	1153	1135	880	1920
PLSCR1	NM_001363872	1898	1448	4446	1839	2241	1468	3120
LOC440982	NR_121655	661	0	1	0	0	0	0
LINC02046	NR_146712	754	0	0	0	0	0	0
HPS3	NM_032383	4611	3476	6240	4277	2514	2917	3710
WWTR1	NM_015472	5037	500	530	535	349	357	384
WWTR1	NM_001168280	4977	458	472	478	318	329	339
WWTR1	NM_001168278	5036	436	449	466	312	308	325
HPS3	NM_001308258	4116	2876	5187	3499	2044	2420	3058
WWTR1	NM_001348362	5234	435	453	468	312	310	328
P2RY14	NM_014879	2588	0	1	0	0	0	1
AADACL2-AS1	NR_110202	1170	0	1	0	0	0	0
AADACL2-AS1	NR_110203	1239	0	1	0	0	0	0
AADACP1	NR_026915	1289	0	0	0	0	0	0
MED12L	NM_053002	10440	34	61	51	18	20	36
MBNL1	NM_207293	5370	51443	78919	56512	25342	41357	46980
MBNL1	NM_207292	5480	52665	80741	57875	26814	42547	48203
MBNL1	NM_001363870	5516	49934	76466	54784	23821	39925	45414
MBNL1	NM_207297	5257	50537	77403	55439	24332	40464	45965
MBNL1	NM_021038	5516	56189	86197	61757	30822	46050	51759
MBNL1	NM_207294	5112	46518	71225	50764	20072	36975	42033
LOC101928166	NR_136178	289	5	2	4	0	1	0
MBNL1	NM_001314057	4785	45929	69756	50422	23360	36433	41434
MBNL1	NM_207295	5148	50039	76671	54636	24033	40469	45582
MBNL1	NM_207296	5226	48458	74585	53343	22577	38801	44111
LINC02006	NR_146713	2371	0	0	0	0	0	0
C3orf79	NR_160966	580	0	3	0	4	0	0
MME	NM_001354642	5734	1	0	7	0	0	2
GPR149	NM_001038705	5527	0	0	0	0	0	0
SLC33A1	NM_001190992	2449	2730	4465	3320	2477	2251	2770
SLC33A1	NM_004733	9265	3726	6197	4548	2926	3043	3733
PLCH1	NM_001349251	6414	10	11	17	12	21	11
PLCH1	NM_001130960	6473	10	11	17	12	21	11
SLC33A1	NM_001363883	2633	2546	4226	3108	2221	2064	2529
PLCH1	NM_001349250	6498	10	11	17	12	21	11
PLCH1	NM_014996	6184	10	11	17	12	21	11
PLCH1	NM_001130961	6501	10	11	17	12	21	11
PLCH1	NM_001349252	6502	10	11	17	12	21	11
CCNL1	NM_020307	2932	8197	16275	11119	8332	7292	9239
CCNL1	NM_001308185	2004	5128	10242	6972	5497	4613	5944
LINC00886	NR_038387	3337	281	382	350	212	297	276
LEKR1	NM_001193283	1946	73	89	96	25	62	51
KCNAB1	NM_001308222	3995	2	6	5	3	1	0
LEKR1	NM_001004316	2572	41	58	54	14	31	24
KCNAB1	NM_172159	4518	2	6	6	3	1	0
SLC66A1L	NM_001130002	1536	0	0	0	0	0	0
SLC66A1L	NR_024016	904	0	0	0	0	0	0
SLC66A1L	NM_001243729	1020	0	0	0	0	0	0
SLC66A1L	NM_001130001	1447	0	0	0	0	0	0
SLC66A1L	NM_001099777	1109	0	0	0	0	0	0
IQCJ	NM_001042706	1468	6	12	7	7	8	9
MLF1	NM_001130157	2285	49	79	90	38	54	42
MLF1	NM_001195432	2487	47	72	75	33	48	40
IQCJ	NM_001042705	1565	6	10	8	3	11	11
IQCJ	NM_001197100	1484	4	3	4	2	6	4
RARRES1	NM_002888	883	5	7	3	10	0	3
MLF1	NM_001195433	2156	36	60	75	34	39	38
MLF1	NM_001195434	2330	49	79	90	38	55	42
MLF1	NM_001130156	2212	49	77	86	38	53	41
RARRES1	NM_206963	1713	11	14	3	10	3	10
MLF1	NM_001369781	2064	32	56	69	30	37	35
MLF1	NM_001369782	2020	30	52	58	27	32	33
MLF1	NM_001369783	2213	46	72	75	33	48	39
MLF1	NM_001369784	2241	46	74	79	33	48	40
MLF1	NM_001369785	2257	49	77	86	38	54	41
MLF1	NM_022443	2168	46	72	75	33	47	39
IFT80	NM_001190241	4219	2056	3838	2626	991	1855	2167
IL12A-AS1	NR_108088	2424	12	31	14	24	20	16
IFT80	NM_020800	3999	2045	3814	2613	983	1841	2136
IFT80	NM_001190242	4160	2042	3823	2590	939	1851	2160
B3GALNT1	NM_001349163	3434	485	825	615	404	487	635
B3GALNT1	NM_001349153	3547	482	825	611	404	484	634
KPNA4	NM_002268	8952	14959	23175	18329	9060	11930	14240
B3GALNT1	NM_001349162	3884	504	869	643	416	512	665
B3GALNT1	NM_001349161	3397	459	792	583	390	458	600
B3GALNT1	NM_001349159	3916	507	896	688	469	536	695
B3GALNT1	NM_001349160	3402	462	807	615	399	473	615
B3GALNT1	NM_001349131	3667	494	855	630	424	493	645
B3GALNT1	NM_001349154	3762	499	865	678	431	516	666
B3GALNT1	NM_001349140	3530	498	863	675	431	514	662
B3GALNT1	NM_001349151	3669	492	851	662	426	513	661
B3GALNT1	NM_033167	3437	491	849	659	426	511	657
B3GALNT1	NM_001038628	3641	505	885	685	448	520	679
B3GALNT1	NM_001349138	3426	487	841	616	408	487	640
B3GALNT1	NM_001349137	3548	498	871	669	443	517	674
B3GALNT1	NM_001349136	3316	459	791	612	397	460	614
B3GALNT1	NM_001349135	3411	494	861	668	431	509	658
B3GALNT1	NM_001349134	3315	481	823	608	404	482	631
PPM1L	NM_139245	10905	984	1307	1473	696	1078	1179
B3GALNT1	NM_001349156	3861	514	910	702	463	536	698
B3GALNT1	NM_001349155	3792	482	832	639	425	492	652
B3GALNT1	NM_001349158	3673	479	830	633	425	487	650
B3GALNT1	NM_001349157	3766	479	839	644	429	487	654
B3GALNT1	NM_001349139	3577	494	869	664	454	515	672
B3GALNT1	NM_001349150	3887	511	898	693	458	538	697
B3GALNT1	NM_001349149	3885	482	841	650	429	492	656
B3GALNT1	NM_001349148	3550	488	849	655	426	508	657
B3GALNT1	NM_001349146	3765	500	867	636	416	507	661
B3GALNT1	NM_001349133	3416	490	849	656	426	509	655
B3GALNT1	NM_001349132	3522	501	883	678	448	515	675
B3GALNT1	NM_001349147	3980	518	912	709	463	541	702
PPM1L	NM_001317911	10572	909	1201	1342	592	1012	1083
PPM1L	NM_001317912	10672	911	1201	1342	606	1014	1084
PPM1L	NR_134243	10853	914	1207	1349	595	1012	1090
SPTSSB	NM_001320679	3312	6	1	13	1	4	6
B3GALNT1	NM_003781	3295	478	837	644	423	501	643
B3GALNT1	NM_001349144	3466	487	847	654	437	509	655
B3GALNT1	NM_001349143	3670	501	883	680	459	518	677
B3GALNT1	NM_001349142	3220	457	771	579	375	444	595
B3GALNT1	NM_001349141	3342	462	784	607	393	465	612
B3GALNT1	NM_001349152	3780	499	873	672	443	519	678
B3GALNT1	NM_001349145	4009	514	910	704	474	539	700
B3GALNT1	NM_033169	3291	465	820	618	416	476	622
B3GALNT1	NM_033168	3223	459	782	601	393	460	610
B3GALNT1	NM_001349130	3574	487	841	618	419	490	642
SPTSSB	NM_001040100	2306	6	0	11	1	4	6
LINC01192	NR_033945	1519	0	0	0	0	0	0
SI	NM_001041	6012	0	1	0	0	0	0
LINC01324	NR_126405	844	0	0	0	0	0	0
LINC01322	NR_125764	753	0	0	0	0	0	0
BCHE	NR_137636	2484	2	1	0	0	2	1
BCHE	NM_000055	2405	2	1	0	0	2	1
BCHE	NR_137635	880	1	0	0	0	1	0
WDR49	NM_001348952	3493	1	0	0	4	0	2
ZBBX	NM_024687	3244	4	0	1	0	1	0
ZBBX	NM_001199201	3361	4	0	1	0	1	0
ZBBX	NM_001199202	3192	2	0	1	0	1	0
WDR49	NM_001366158	2700	1	0	0	4	0	2
WDR49	NM_001366157	3526	1	0	0	4	0	2
WDR49	NM_001348951	3608	0	0	1	3	0	2
GOLIM4	NM_014498	4303	5848	8202	7241	3843	4976	4863
GOLIM4	NM_001308155	4219	5828	8185	7215	3843	4966	4849
LRRC77P	NR_033843	2678	0	0	0	0	0	1
LRRC77P	NR_145443	2348	0	0	0	0	0	0
MECOM	NM_001205194	5124	2	0	0	2	1	1
MECOM	NM_004991	5462	2	3	0	2	1	1
LOC105374205	NR_134932	535	0	1	0	0	0	0
MECOM	NM_001366466	5435	2	3	0	2	1	1
MECOM	NM_001366473	4463	2	3	0	2	1	1
SKIL	NM_005414	7154	2445	3618	2784	987	1532	1835
SKIL	NM_001145098	6663	2183	3233	2490	811	1368	1645
SLC7A14	NM_020949	10139	2	2	0	3	0	0
PHC3	NM_001308116	12667	7816	13689	10187	5727	6246	7720
PHC3	NM_024947	12652	7805	13680	10183	5711	6233	7711
SLC7A14-AS1	NR_135555	2936	0	0	0	0	0	0
SLC7A14-AS1	NR_135556	1583	0	0	0	0	0	0
SKIL	NM_001248008	7196	2384	3510	2722	958	1493	1767
PRKCI	NM_002740	4887	2078	3094	2542	1024	1612	1727
SKIL	NM_001145097	7058	2231	3252	2525	879	1376	1636
PLD1	NM_001130081	5901	466	622	646	320	475	516
TNIK	NM_001161562	9781	38818	58369	41529	28042	30031	32689
TNIK	NM_001161565	9640	38033	57424	40875	27419	29423	31981
TNIK	NM_001161564	9703	37431	56391	40118	26569	28936	31464
TNIK	NM_001161560	9868	39061	58714	41769	28241	30255	32928
TNIK	NR_027767	757	2217	3085	2241	1501	1548	1811
TNIK	NM_001161566	9616	37195	56057	39884	26382	28726	31235
TNIK	NM_015028	9892	39899	60081	42760	29278	30952	33674
TNIK	NM_001161561	9805	39656	59736	42520	29079	30728	33435
TNIK	NM_001161563	9727	38269	57758	41109	27606	29633	32210
PLD1	NM_002662	6015	485	650	683	327	497	538
ECT2	NM_001349104	3939	5097	8305	6212	2316	4201	4825
ECT2	NM_001349103	3956	5204	8483	6366	2420	4303	4923
ECT2	NM_001349102	4363	5951	9574	7162	3190	4803	5612
ECT2	NM_001349101	4616	5996	9677	7214	3115	4891	5677
ECT2	NM_001349096	4386	5937	9606	7158	3039	4855	5627
ECT2	NM_001349100	4442	5953	9609	7152	3099	4853	5647
FNDC3B	NM_022763	8031	1565	3055	2227	1533	1275	1786
ECT2	NM_001258315	4136	5995	9698	7240	3127	4907	5678
ECT2	NM_001349094	4690	6130	9886	7391	3256	5013	5804
ECT2	NM_001349099	4119	5888	9518	7086	3023	4805	5580
ECT2	NM_001349097	4723	6005	9682	7244	3206	4862	5676
ECT2	NM_001349098	4459	6096	9828	7341	3246	4978	5773
ECT2	NM_018098	4043	5989	9676	7230	3127	4895	5661
ECT2	NM_001258316	4407	6109	9840	7369	3275	4997	5779
ECT2	NM_001349095	4403	6044	9786	7312	3143	4957	5725
FNDC3B	NM_001135095	7931	1512	2938	2149	1475	1222	1729
NAALADL2-AS2	NR_046713	807	113	159	208	97	115	127
TBL1XR1	NM_001321193	7946	16139	25331	19435	7115	12558	14571
LINC01209	NR_110819	2399	0	0	0	0	0	0
TBL1XR1	NM_024665	8169	16533	25893	19787	7376	12890	14928
TBL1XR1	NM_001321195	7843	15599	24516	18739	6834	12126	14102
TBL1XR1	NM_001321194	8288	16609	26031	19902	7456	12976	15019
LINC00578	NR_047568	1222	15	10	6	9	10	13
LINC02015	NR_110826	2957	0	0	0	0	0	0
KCNMB2	NM_001278911	2402	46	55	33	24	23	43
KCNMB2	NM_005832	2479	50	66	33	24	24	44
ZMAT3	NM_022470	8934	14846	23382	21596	7932	12434	14939
KCNMB2	NM_181361	2543	56	64	41	30	27	46
KCNMB2-AS1	NR_126560	2054	6	4	6	3	6	5
KCNMB2-AS1	NR_126561	1795	3	4	5	6	4	5
ZMAT3	NM_152240	9052	14789	23344	21565	7917	12428	14949
PIK3CA	NM_006218	9259	6424	9852	8108	2813	5817	6407
PEX5L	NM_001349395	8943	240	284	211	157	294	352
ACTL6A	NM_178042	1946	9862	14150	10653	7310	7965	8951
PEX5L	NM_001349391	8908	225	256	195	131	280	337
PEX5L	NM_001349392	9691	231	283	209	157	296	349
PEX5L	NM_001349393	8994	231	279	208	157	295	344
PEX5L	NM_001349394	8904	225	256	195	131	279	336
PEX5L	NM_001256752	8983	254	303	231	184	326	371
PEX5L	NM_001256751	9016	255	300	221	176	319	361
PEX5L	NM_001256750	9082	255	302	221	176	319	362
PEX5L	NM_001349409	8827	227	266	199	152	281	337
PEX5L	NM_001349410	8639	217	252	193	131	275	329
PEX5L	NM_001349406	8882	226	265	199	152	281	336
PEX5L	NM_001349397	9496	217	257	194	131	279	335
ACTL6A	NM_177989	1754	8071	11671	8837	5725	6385	7280
PEX5L	NM_001349389	9154	263	315	238	189	334	382
PEX5L	NM_001349388	9796	240	289	212	157	297	357
ACTL6A	NM_004301	1854	9883	14161	10668	7311	7969	8967
USP13	NM_003940	8038	6483	9365	7147	5010	5583	5876
PEX5L	NM_001349396	8887	240	272	205	150	303	345
PEX5L	NM_001349401	8799	244	281	209	166	299	348
PEX5L	NM_001349404	8604	235	266	200	145	293	341
PEX5L	NM_001256754	8939	240	284	211	157	293	351
PEX5L	NM_001256755	8744	225	255	195	131	276	335
PEX5L	NM_001256756	8834	231	278	208	157	292	343
PEX5L	NM_001349386	9103	240	285	211	157	297	353
PEX5L	NM_001349387	9099	240	285	211	157	296	352
PEX5L	NM_001349390	8998	231	279	208	157	296	345
PEX5L	NM_016559	9088	263	312	238	189	334	381
GNB4	NM_021629	6315	1099	2462	1314	918	802	1406
PEX5L	NM_001256753	8911	249	296	217	171	314	357
PEX5L	NM_001349398	8821	240	270	205	150	303	345
PEX5L	NM_001349399	8904	245	281	209	166	304	348
PEX5L	NM_001349408	8987	227	267	199	152	282	338
PEX5L	NR_146167	8830	226	273	199	154	285	332
TTC14	NM_001288582	2822	1923	3747	2914	1286	1751	2225
LOC101928882	NR_109986	2873	0	0	0	0	0	0
CCDC39	NM_181426	3848	7	10	9	0	2	2
SOX2-OT	NR_004053	3532	2	1	1	3	0	0
SOX2-OT	NR_075090	3138	1	1	1	3	0	0
SOX2-OT	NR_075089	3424	1	1	1	3	0	0
DCUN1D1	NM_001308101	7895	4281	6206	4973	1619	3329	3889
ATP11B	NM_014616	7315	12520	20702	15139	6981	10465	12444
DCUN1D1	NM_020640	7849	4478	6428	5170	1763	3482	4067
MCF2L2	NM_015078	5013	37	60	50	32	31	39
DVL3	NM_004423	5269	13896	20978	16403	12531	11931	12622
ECE2	NM_001100120	3361	1	1	0	0	1	0
YEATS2	NM_018023	6526	8737	13850	10071	7791	7341	8700
ECE2	NM_001100121	3223	1	1	0	0	1	0
YEATS2	NM_001351370	6509	8888	14060	10225	7974	7463	8832
ECE2	NM_001037324	3136	1	1	0	0	1	0
YEATS2	NM_001351369	6383	8545	13544	9900	7566	7142	8485
YEATS2	NM_001351371	3688	4194	6656	4830	3776	3524	4256
LINC02054	NR_161198	1809	0	0	0	0	0	0
LINC02054	NR_161199	1989	0	0	0	0	0	0
EEF1AKMT4-ECE2	NM_014693	3468	755	1111	867	582	589	695
VPS8	NM_015303	5041	3214	4831	4054	2289	2648	2850
VPS8	NM_001349294	5108	3215	4835	4057	2290	2653	2855
MAP3K13	NM_001242314	9810	342	650	396	355	323	320
MAP3K13	NM_001242317	9074	394	713	440	385	386	353
MAP3K13	NM_004721	9857	345	649	404	354	325	316
EHHADH	NM_001166415	3924	353	499	473	290	315	290
VPS8	NM_001349292	5133	3214	4838	4061	2290	2653	2853
VPS8	NM_001349293	5045	3137	4717	3964	2226	2591	2767
VPS8	NM_001349297	5194	3215	4837	4064	2289	2654	2854
VPS8	NM_001349298	5226	3221	4848	4061	2306	2664	2862
VPS8	NR_146113	5281	3226	4861	4075	2315	2678	2874
VPS8	NM_001349295	5247	3141	4716	3961	2223	2593	2766
VPS8	NM_001349296	5008	3157	4752	3999	2241	2584	2798
EHHADH	NM_001966	3801	353	497	469	288	312	287
VPS8	NM_001009921	5047	3214	4834	4056	2290	2652	2852
IGF2BP2	NM_001291874	3964	19	21	10	12	8	5
IGF2BP2	NM_006548	4283	19	23	11	17	11	7
DGKG	NM_001080745	5685	248	401	323	264	254	327
DGKG	NM_001080744	5727	249	401	323	264	254	330
DGKG	NM_001346	5802	249	401	323	264	254	330
IGF2BP2-AS1	NR_126326	1531	1	3	12	0	7	2
IGF2BP2	NM_001291872	4111	19	22	11	12	10	6
IGF2BP2	NM_001291873	4081	19	22	11	12	10	6
IGF2BP2	NM_001291875	4029	18	20	11	12	10	6
IGF2BP2	NM_001007225	4154	19	22	10	17	9	6
IGF2BP2	NM_001291869	4301	19	23	11	17	11	7
IGF2BP2	NR_138486	3400	14	19	5	16	8	6
ST6GAL1	NM_003032	4303	49568	68469	59294	38762	37736	38155
ST6GAL1	NM_001353916	4177	48741	67409	58239	38062	37019	37483
ST6GAL1	NM_173217	3947	42390	58650	50270	32241	31934	32497
ST6GAL1	NM_173216	4604	50229	69669	59731	39379	38202	38740
TPRG1	NM_198485	5482	4444	6502	6170	3089	3662	4086
IL1RAP	NM_001167930	1973	66	76	44	53	37	61
IL1RAP	NM_001167928	4909	113	162	98	71	86	95
TMEM207	NM_207316	1447	0	0	0	0	0	0
IL1RAP	NR_157353	4509	96	140	84	60	71	79
IL1RAP	NM_001167931	5430	70	85	53	51	54	61
IL1RAP	NM_002182	4745	113	162	98	71	86	95
IL1RAP	NM_134470	2060	76	87	53	58	48	71
P3H2	NM_001134418	3066	7341	10833	8609	6122	5775	6352
P3H2	NM_018192	3477	8816	12826	10330	7320	7021	7849
CLDN1	NM_021101	3441	24	9	41	7	13	7
IL1RAP	NM_001167929	4658	103	151	89	66	75	85
IL1RAP	NM_001364880	3095	59	62	41	45	38	50
IL1RAP	NM_001364879	5343	60	74	44	46	43	51
IL1RAP	NM_001364881	4822	103	151	89	66	75	85
IL1RAP	NR_157352	4596	106	151	93	65	82	89
OSTN	NM_198184	3230	0	0	0	0	0	0
CCDC50	NM_174908	8101	6845	10383	7993	5089	5858	6763
CCDC50	NM_178335	8629	6892	10432	8046	5119	5886	6797
OSTN-AS1	NR_133663	511	15	16	9	3	8	11
LINCR-0002	NR_120606	1182	0	0	0	0	0	0
MB21D2	NM_178496	3062	2526	3723	3379	1887	2420	2620
FGF12	NM_021032	6174	4	1	3	6	0	0
FGF12-AS1	NR_046596	578	0	1	0	0	0	0
FGF12	NM_004113	5352	6	3	4	6	0	0
OPA1	NM_130834	6318	15842	25005	18417	9919	13246	15208
OPA1	NM_130836	6375	16326	25682	18909	10291	13668	15659
ATP13A4	NM_032279	7372	48	90	61	68	32	56
OPA1	NM_130835	6385	15772	24798	18329	10009	13181	15154
OPA1	NM_015560	6328	15793	24928	18379	9932	13222	15195
OPA1	NM_130837	6493	16463	25889	19065	10424	13786	15822
OPA1	NM_130832	6210	15287	24106	17806	9624	12748	14655
OPA1	NM_001354664	6322	15800	24935	18391	9900	13204	15175
OPA1	NM_001354663	6325	15759	24761	18312	9964	13138	15104
OPA1	NM_130833	6331	15752	24757	18301	9996	13156	15127
OPA1	NM_130831	6156	15279	24083	17795	9618	12733	14645
ATP13A5	NM_198505	3938	3	1	1	0	1	1
LSG1	NM_018385	3282	10650	16821	12366	9613	8823	9820
LINC02036	NR_125403	910	1	2	3	0	0	1
LINC02037	NR_125402	1195	2	0	0	0	0	0
LINC01968	NR_037891	3647	1	8	1	0	2	2
XXYLT1	NM_001308069	2263	2573	3363	2726	1985	2075	2135
XXYLT1	NM_152531	2714	2893	3806	3047	2390	2438	2481
ACAP2	NM_012287	7093	9035	13778	10807	5381	7239	8163
MIR570HG	NR_122105	7520	108	213	184	88	106	106
RNF168	NM_152617	5344	8069	12097	9484	5569	6742	7152
SENP5	NM_001308045	6169	6426	10162	8005	5275	5275	5956
SENP5	NM_152699	6243	6629	10497	8277	5309	5431	6151
BDH1	NM_203315	6519	6838	9315	7443	5420	5905	5907
BDH1	NM_004051	6750	7534	10232	8191	6129	6551	6572
BDH1	NM_203314	7054	7594	10305	8263	6160	6624	6642
IQCG	NM_032263	2232	226	315	284	183	159	189
IQCG	NM_001134435	1983	208	314	264	202	166	183
IQCG	NM_001323027	2372	213	316	266	209	168	186
IQCG	NM_001323028	2195	214	283	258	174	148	170
IQCG	NM_001323029	2283	234	328	300	188	162	192
IQCG	NM_001323030	1270	142	222	174	130	132	151
LINC01986	NR_110824	696	0	0	0	0	0	1
CHL1	NR_045572	2316	24	30	25	14	26	34
CHL1-AS2	NR_144486	726	1	2	5	6	0	2
CHL1-AS2	NR_144487	630	1	1	5	3	0	0
CHL1-AS1	NR_110739	910	0	0	0	0	0	0
CNTN4-AS2	NR_046555	426	0	0	0	0	0	0
IL5RA	NM_000564	5808	4	6	5	11	2	0
TRNT1	NR_159942	974	331	493	430	201	306	277
TRNT1	NR_159944	1273	432	621	521	256	388	353
IL5RA	NM_175726	5739	4	6	5	11	2	0
IL5RA	NM_175724	2052	0	4	2	11	0	0
IL5RA	NM_001243099	5654	4	6	5	11	2	0
CNTN4-AS1	NR_046554	1012	0	0	0	0	0	0
IL5RA	NM_175728	1653	0	3	2	11	0	0
IL5RA	NM_175727	1983	0	4	2	11	0	0
IL5RA	NM_175725	1722	0	3	2	11	0	0
TRNT1	NR_159943	2002	633	934	850	473	611	597
CRBN	NM_016302	2591	2526	3835	3069	1472	1890	2126
CRBN	NM_001173482	2588	1961	3049	2460	1021	1465	1664
LOC100130207	NR_149025	2344	4	3	1	1	0	1
SETMAR	NM_006515	2141	1829	2873	2328	1598	1642	1825
SETMAR	NM_001276325	1728	472	686	625	277	430	411
SETMAR	NM_001243723	1724	1636	2584	2069	1534	1456	1653
SETMAR	NM_001320676	1392	1481	2341	1824	1404	1291	1498
SETMAR	NM_001320677	1704	1556	2478	1997	1456	1385	1581
SETMAR	NM_001320678	1277	1280	2088	1607	1221	1123	1331
ITPR1-DT	NR_108075	1432	8	4	12	0	4	6
EGOT	NR_004428	1462	46	67	76	37	51	48
BHLHE40-AS1	NR_125914	2410	102	105	70	53	83	81
BHLHE40-AS1	NR_037903	2451	156	186	122	66	132	128
BHLHE40-AS1	NR_125915	2355	147	179	114	71	117	122
BHLHE40-AS1	NR_125916	2215	147	177	114	66	117	121
EDEM1	NM_014674	6113	28231	45544	34201	21173	23560	26509
ARL8B	NM_018184	2933	11273	17597	13708	4775	9102	10429
MIR4790	NR_039953	79	0	0	0	0	0	0
GRM7-AS3	NR_110125	465	0	0	0	0	0	0
GRM7-AS2	NR_131906	510	0	0	0	0	0	0
GRM7-AS1	NR_046606	430	0	0	0	0	0	0
LINC00312	NR_024065	2887	87	70	72	17	52	61
SSUH2	NM_001256748	1633	1	5	5	4	3	2
SSUH2	NR_046358	1881	1	5	5	4	3	2
OXTR	NM_001354655	4161	1166	1748	1987	831	1214	1183
OXTR	NM_001354654	4337	1182	1789	2010	843	1240	1194
OXTR	NM_001354653	4280	1178	1766	2001	839	1227	1195
CAV3	NM_033337	1431	0	0	0	0	0	0
OXTR	NM_000916	4360	1212	1807	2037	851	1263	1215
CAV3	NM_001234	1326	0	0	0	0	0	0
OXTR	NM_001354656	4020	1181	1770	2014	842	1234	1196
SRGAP3-AS2	NR_121663	1293	0	0	0	0	0	0
SRGAP3-AS2	NR_121664	1231	0	0	0	0	0	0
SRGAP3-AS3	NR_103443	1223	0	0	0	0	2	0
SRGAP3-AS4	NR_146969	443	0	0	2	2	0	0
THUMPD3	NM_015453	3959	4886	7645	5869	3334	4094	4560
THUMPD3-AS1	NR_132781	973	592	1099	801	360	535	599
THUMPD3-AS1	NR_027007	1872	1338	2380	1830	943	1110	1354
THUMPD3-AS1	NR_132780	1946	1395	2482	1895	1004	1147	1411
THUMPD3	NM_001114092	3754	4367	6900	5305	2832	3686	4059
LHFPL4	NM_198560	4900	9	13	4	6	1	6
OGG1	NM_016821	2152	1679	2220	1817	1238	1382	1426
OGG1	NM_016820	1653	1977	2554	2064	1478	1562	1656
TADA3	NM_006354	2515	14085	20126	16231	12315	11918	12778
ARPC4	NM_001024959	1605	39683	57493	41919	28958	31549	36983
OGG1	NR_148932	1698	1777	2376	1861	1456	1422	1486
TADA3	NM_133480	2829	9913	14396	11561	8924	8548	9075
OGG1	NM_016829	2205	1682	2230	1827	1244	1387	1434
OGG1	NM_016826	1951	1393	1860	1475	1078	1138	1180
OGG1	NM_016828	2252	1696	2262	1854	1245	1397	1444
OGG1	NM_016827	1769	1201	1613	1277	971	979	1025
CAMK1	NM_003656	1453	695	961	877	575	607	652
OGG1	NM_001354648	1547	1575	2082	1644	1229	1259	1321
OGG1	NM_001354652	2054	1408	1883	1501	1090	1153	1194
OGG1	NM_001354651	2102	1622	2160	1739	1220	1328	1377
OGG1	NM_016819	1880	2198	2912	2303	1708	1786	1855
ARPC4	NM_005718	1971	45394	67535	49100	33425	37199	43417
OGG1	NM_002542	1636	1934	2503	2021	1444	1527	1615
BRPF1	NM_001319050	4729	6751	10556	7660	5821	5673	6187
BRPF1	NM_001319049	4447	6205	9658	7034	5113	5120	5657
TADA3	NM_001278270	1909	11698	16873	13518	10632	9877	10636
ARPC4	NM_001024960	1460	39503	57242	41730	28832	31393	36818
TADA3	NR_103488	1951	8886	12522	10105	7536	7337	7969
OGG1	NR_148931	1270	878	1279	940	716	719	758
OGG1	NR_148930	1632	1326	1866	1394	998	1094	1133
CPNE9	NM_153635	2042	3	4	5	0	4	0
ARPC4	NM_001198780	2113	44417	66256	48236	32264	36523	42697
CPNE9	NM_001308388	1743	3	4	3	0	1	0
OGG1	NM_001354649	1303	1362	1752	1429	1036	1045	1135
OGG1	NM_001354650	2001	1406	1873	1493	1084	1150	1188
BRPF1	NM_004634	4710	6830	10701	7734	5891	5771	6273
BRPF1	NR_160918	4912	6799	10659	7748	5878	5727	6239
BRPF1	NM_001003694	4743	6952	10908	7863	6021	5843	6376
PRRT3	NM_001318871	1499	2376	3221	3627	2427	2139	2202
IL17RE	NM_153481	2543	32	43	43	22	31	31
CRELD1	NM_015513	2695	978	1635	1210	913	928	967
IL17RE	NR_104198	2809	37	43	52	24	34	31
PRRT3	NM_207351	3775	6899	9398	10354	7404	6488	6470
IL17RC	NM_001367278	2331	58	115	63	40	42	60
IL17RC	NM_153460	2409	63	138	66	62	51	77
IL17RE	NM_001193380	2752	32	48	47	29	34	32
IL17RC	NM_001203263	2370	63	131	66	56	48	70
CIDEC	NM_001199623	1200	8	8	2	1	1	3
